asses,education,gender,comments,workerid,language,enjoyment,age
Yes,3,Male,Good,0,English,2,34
Yes,3,Male,,1,english,1,32
Yes,3,Male,nothing,2,English,2,47
Yes,3,Female,it is a good survey.,3,english,2,30
