workerid,assignmentid
0,3TEM0PF1Q5XYZK7UC0UUKX1XM2Y0DY
1,33IZTU6J811CYZWNC2EQOAA8XCSXSJ
2,3UOUJI6MTDESDCOR179Q3BSWI9DXUZ
3,35DR22AR5DK8EIB8MNDPG22W5X7X37
