Word,mean_atissue
aggravate,0.08771428571428572
alarm,0.06344262295081968
amuse,0.08322033898305084
anticipate,0.10645569620253165
argue,0.19305555555555556
bet,0.15488372093023256
celebrate,0.09268656716417911
charm,0.06569444444444444
compute,0.1327536231884058
cringe,0.04723684210526316
dictate,0.2115
disgust,0.052083333333333336
distress,0.060921052631578945
elaborate,0.2184931506849315
embarrass,0.0598360655737705
enjoy,0.07014492753623189
envision,0.14225352112676057
excite,0.07488372093023256
expose,0.13971014492753622
express,0.29
fantasize,0.22057971014492753
fascinate,0.061384615384615385
feel,0.22611940298507463
gossip,0.23359375
ignore,0.040266666666666666
insult,0.0824
irritate,0.07314285714285715
joke,0.24223880597014924
love,0.06766666666666667
murmur,0.28826666666666667
offend,0.06924242424242424
pain,0.05383561643835617
pray,0.1022972972972973
promise,0.18721518987341773
require,0.27171875
resent,0.0675
retract,0.18045454545454545
scream,0.18943661971830986
shock,0.08135135135135135
shout,0.24333333333333335
simulate,0.17319444444444446
squeal,0.10053333333333334
suppose,0.19803030303030303
surprise,0.08861111111111111
testify,0.23084507042253521
think,0.1528358208955224
thrill,0.08213333333333334
torture,0.05174603174603175
trouble,0.09357894736842105
tweet,0.22973684210526316
verify,0.3841538461538462
weep,0.0915
whine,0.0983076923076923
write,0.23513513513513512
